Date,Unnamed: 0,Total_trans,Total_ORN,Total_avg_trans_orn,Total_200,Total_200_per,Total_422,Total_422_per,Total_other_response
2020-12-01,0,1101602,413495,2.664124112746224,744097,67.54680910165379,357500,32.45273701391247,5
2020-12-02,0,1214147,458220,2.6497031993365634,825511,67.99102579835885,388622,32.00782112874306,14
2020-12-03,1,1147405,433218,2.6485626174351022,780877,68.05591748336464,366516,31.943036678417826,12
2020-12-04,1,1079236,409940,2.6326681953456603,739976,68.56479954338069,339252,31.43445919150213,8
2020-12-05,2,1356071,514805,2.6341449675119706,932507,68.76535225662963,423550,31.233615349048833,14
2020-12-06,3,696303,266189,2.6158218408724627,476714,68.46358553675628,219488,31.521909283745728,101
2020-12-07,4,1082849,416186,2.6018390815644934,750538,69.31141830486061,332302,30.68775055432475,9
2020-12-08,0,834697,344537,2.422662878007297,663985,79.54802760762287,170703,20.45089415680181,9
2020-12-09,1,702842,295383,2.379426033319453,570728,81.20288770449119,132109,18.79640089806813,5
2020-12-10,2,965003,403938,2.3889879139868,771374,79.93488103145793,193614,20.06356456922932,15
2020-12-11,3,917079,380663,2.4091624350146983,732713,79.8963884245523,184351,20.101975947546503,15
2020-12-12,4,1215602,505558,2.404475846490413,984399,80.98037021985814,231157,19.015845646848227,46
2020-12-13,2,660000,274081,2.408047256103123,526384,79.75515151515152,133609,20.24378787878788,7
2020-12-14,5,432104,169625,2.5474075165806926,319556,73.9534926776887,112543,26.045350193471947,5
2020-12-15,6,426809,167894,2.5421337272326587,315539,73.92979060891406,111263,26.06856931320567,7
2020-12-16,7,458261,178733,2.563941745508664,337168,73.5755388304918,121089,26.423588304481513,4
2020-12-17,3,975276,408108,2.3897497721191447,783303,80.31603361509974,191961,19.682735963973283,12
2020-12-18,4,1075597,446298,2.410042169133628,861796,80.12257378925378,213789,19.87631055125665,12
2020-12-19,5,941548,393210,2.3945169247984537,760654,80.78759659624363,180883,19.21123511493838,11
2020-12-20,8,289178,111511,2.593268825497036,208924,72.24754303577727,80254,27.75245696422273,0
